Symbol,Time,Avg_volume
MSTR,00:00,175.8
MSTR,00:02,1294.8
MSTR,00:04,775.2
MSTR,00:06,377.4
MSTR,00:08,305.0
MSTR,00:10,593.0
MSTR,00:12,207.0
MSTR,00:14,369.0
MSTR,00:16,243.4
MSTR,00:18,293.4
MSTR,00:20,233.2
MSTR,00:22,60.0
MSTR,00:24,287.0
MSTR,00:26,59.6
MSTR,00:28,398.4
MSTR,00:30,178.0
MSTR,00:32,364.4
MSTR,00:34,288.6
MSTR,00:36,154.8
MSTR,00:38,110.0
MSTR,00:40,306.8
MSTR,00:42,112.0
MSTR,00:44,323.2
MSTR,00:46,885.8
MSTR,00:48,967.2
MSTR,00:50,338.6
MSTR,00:52,288.4
MSTR,00:54,323.4
MSTR,00:56,78.2
MSTR,00:58,40.0
MSTR,01:00,207.2
MSTR,01:02,594.4
MSTR,01:04,210.8
MSTR,01:06,156.4
MSTR,01:08,153.4
MSTR,01:10,173.0
MSTR,01:12,321.8
MSTR,01:14,66.8
MSTR,01:16,271.0
MSTR,01:18,224.6
MSTR,01:20,310.8
MSTR,01:22,520.8
MSTR,01:24,82.2
MSTR,01:26,100.0
MSTR,01:28,258.0
MSTR,01:30,634.4
MSTR,01:32,157.4
MSTR,01:34,688.0
MSTR,01:36,638.0
MSTR,01:38,160.0
MSTR,01:40,445.4
MSTR,01:42,761.4
MSTR,01:44,758.0
MSTR,01:46,675.8
MSTR,01:48,1259.0
MSTR,01:50,474.2
MSTR,01:52,200.0
MSTR,01:54,557.8
MSTR,01:56,111.0
MSTR,01:58,440.2
MSTR,02:00,572.8
MSTR,02:02,373.0
MSTR,02:04,1056.4
MSTR,02:06,173.8
MSTR,02:08,343.8
MSTR,02:10,167.2
MSTR,02:12,143.6
MSTR,02:14,285.6
MSTR,02:16,216.6
MSTR,02:18,565.2
MSTR,02:20,422.2
MSTR,02:22,260.0
MSTR,02:24,469.6
MSTR,02:26,120.0
MSTR,02:28,546.8
MSTR,02:30,140.0
MSTR,02:32,404.0
MSTR,02:34,168.8
MSTR,02:36,617.4
MSTR,02:38,256.0
MSTR,02:40,481.6
MSTR,02:42,960.8
MSTR,02:44,1121.0
MSTR,02:46,653.2
MSTR,02:48,526.4
MSTR,02:50,558.6
MSTR,02:52,1598.8
MSTR,02:54,322.6
MSTR,02:56,510.0
MSTR,02:58,687.2
MSTR,11:00,1883.4
MSTR,11:02,656.6
MSTR,11:04,627.0
MSTR,11:06,273.8
MSTR,11:08,140.0
MSTR,11:10,275.0
MSTR,11:12,22.0
MSTR,11:14,467.8
MSTR,11:16,371.0
MSTR,11:18,317.2
MSTR,11:20,300.0
MSTR,11:22,291.4
MSTR,11:24,359.4
MSTR,11:26,392.6
MSTR,11:28,323.4
MSTR,11:30,495.2
MSTR,11:32,180.0
MSTR,11:34,107.8
MSTR,11:36,364.8
MSTR,11:38,204.6
MSTR,11:40,99.8
MSTR,11:42,101.4
MSTR,11:44,201.6
MSTR,11:46,40.0
MSTR,11:48,20.0
MSTR,11:50,94.0
MSTR,11:52,40.0
MSTR,11:54,81.4
MSTR,11:56,148.8
