Symbol,Date,Time,Volume,Avg_volume,Rvol
AAPL,2025-08-19,11:00,744.0,1259.6,0.59
AAPL,2025-08-19,11:02,337.0,626.6,0.54
AAPL,2025-08-19,11:04,0.0,639.0,0.0
AAPL,2025-08-19,11:06,0.0,865.2,0.0
AAPL,2025-08-19,11:08,0.0,432.8,0.0
AAPL,2025-08-19,11:10,1418.0,678.4,2.09
AAPL,2025-08-19,11:12,100.0,80.0,1.25
AAPL,2025-08-19,11:14,0.0,297.4,0.0
AAPL,2025-08-19,11:16,0.0,104.2,0.0
AAPL,2025-08-19,11:18,0.0,115.8,0.0
AAPL,2025-08-19,11:20,0.0,415.6,0.0
AAPL,2025-08-19,11:22,0.0,598.2,0.0
AAPL,2025-08-19,11:24,100.0,239.6,0.42
AAPL,2025-08-19,11:26,0.0,468.4,0.0
AAPL,2025-08-19,11:28,1475.0,500.8,2.95
AAPL,2025-08-19,11:30,0.0,279.4,0.0
AAPL,2025-08-19,11:32,0.0,170.8,0.0
AAPL,2025-08-19,11:34,195.0,337.4,0.58
AAPL,2025-08-19,11:36,0.0,378.6,0.0
AAPL,2025-08-19,11:38,0.0,522.2,0.0
AAPL,2025-08-19,11:40,807.0,366.0,2.2
AAPL,2025-08-19,11:42,100.0,311.4,0.32
AAPL,2025-08-19,11:44,0.0,317.6,0.0
AAPL,2025-08-19,11:46,430.0,674.2,0.64
AAPL,2025-08-19,11:48,0.0,608.8,0.0
AAPL,2025-08-19,11:50,114.0,48.4,2.36
AAPL,2025-08-19,11:52,0.0,165.0,0.0
AAPL,2025-08-19,11:54,0.0,226.2,0.0
AAPL,2025-08-19,11:56,0.0,130.0,0.0
AAPL,2025-08-19,11:58,0.0,250.2,0.0
AAPL,2025-08-19,12:00,100.0,42.6,2.35
AAPL,2025-08-19,12:02,0.0,40.0,0.0
AAPL,2025-08-19,12:04,200.0,307.6,0.65
AAPL,2025-08-19,12:06,0.0,254.0,0.0
AAPL,2025-08-19,12:08,0.0,126.0,0.0
AAPL,2025-08-19,12:10,720.0,164.0,4.39
AAPL,2025-08-19,12:12,0.0,113.8,0.0
AAPL,2025-08-19,12:14,0.0,193.0,0.0
AAPL,2025-08-19,12:16,0.0,60.0,0.0
AAPL,2025-08-19,12:18,362.0,289.4,1.25
AAPL,2025-08-19,12:20,0.0,60.0,0.0
AAPL,2025-08-19,12:22,0.0,393.6,0.0
AAPL,2025-08-19,12:24,0.0,40.0,0.0
AAPL,2025-08-19,12:26,0.0,738.4,0.0
AAPL,2025-08-19,12:28,526.0,205.2,2.56
AAPL,2025-08-19,12:30,100.0,89.0,1.12
AAPL,2025-08-19,12:32,105.0,81.0,1.3
AAPL,2025-08-19,12:34,0.0,266.0,0.0
AAPL,2025-08-19,12:36,0.0,164.2,0.0
AAPL,2025-08-19,12:38,158.0,91.6,1.72
AAPL,2025-08-19,12:40,0.0,80.0,0.0
AAPL,2025-08-19,12:42,0.0,0.0,
AAPL,2025-08-19,12:44,0.0,41.6,0.0
AAPL,2025-08-19,12:46,0.0,156.2,0.0
AAPL,2025-08-19,12:48,0.0,325.6,0.0
AAPL,2025-08-19,12:50,0.0,262.2,0.0
AAPL,2025-08-19,12:52,0.0,69.0,0.0
AAPL,2025-08-19,12:54,878.0,175.6,5.0
AAPL,2025-08-19,12:56,0.0,0.0,
AAPL,2025-08-19,12:58,0.0,976.4,0.0
AAPL,2025-08-19,13:00,100.0,56.8,1.76
AAPL,2025-08-19,13:02,268.0,73.6,3.64
AAPL,2025-08-19,13:04,0.0,20.0,0.0
AAPL,2025-08-19,13:06,0.0,272.4,0.0
AAPL,2025-08-19,13:08,0.0,299.2,0.0
AAPL,2025-08-19,13:10,0.0,68.8,0.0
AAPL,2025-08-19,13:12,0.0,441.8,0.0
AAPL,2025-08-19,13:14,0.0,0.0,
AAPL,2025-08-19,13:16,100.0,20.0,5.0
AAPL,2025-08-19,13:18,0.0,93.8,0.0
