Symbol,Date,Time,Volume,Avg_volume,Rvol
AMD,2025-08-20,11:00,7944.0,4342.6,1.83
AMD,2025-08-20,11:02,1866.0,964.2,1.94
AMD,2025-08-20,11:04,373.0,1766.4,0.21
AMD,2025-08-20,11:06,895.0,1318.2,0.68
AMD,2025-08-20,11:08,1178.0,2809.8,0.42
AMD,2025-08-20,11:10,1928.0,3807.0,0.51
AMD,2025-08-20,11:12,1688.0,1268.4,1.33
AMD,2025-08-20,11:14,519.0,731.2,0.71
AMD,2025-08-20,11:16,628.0,929.0,0.68
AMD,2025-08-20,11:18,2731.0,1131.4,2.41
AMD,2025-08-20,11:20,500.0,990.2,0.5
AMD,2025-08-20,11:22,2635.0,1471.6,1.79
AMD,2025-08-20,11:24,777.0,841.4,0.92
AMD,2025-08-20,11:26,300.0,362.0,0.83
AMD,2025-08-20,11:28,676.0,1366.6,0.49
AMD,2025-08-20,11:30,952.0,1235.8,0.77
AMD,2025-08-20,11:32,6996.0,2249.4,3.11
AMD,2025-08-20,11:34,1388.0,1718.8,0.81
AMD,2025-08-20,11:36,3753.0,1384.2,2.71
AMD,2025-08-20,11:38,9644.0,2462.4,3.92
AMD,2025-08-20,11:40,2019.0,757.4,2.67
AMD,2025-08-20,11:42,3721.0,1008.8,3.69
AMD,2025-08-20,11:44,2098.0,1712.2,1.23
AMD,2025-08-20,11:46,1860.0,1080.4,1.72
AMD,2025-08-20,11:48,1792.0,824.4,2.17
AMD,2025-08-20,11:50,926.0,602.2,1.54
AMD,2025-08-20,11:52,1381.0,352.4,3.92
AMD,2025-08-20,11:54,300.0,229.2,1.31
AMD,2025-08-20,11:56,0.0,2357.4,0.0
AMD,2025-08-20,11:58,1993.0,597.4,3.34
AMD,2025-08-20,12:00,640.0,301.8,2.12
AMD,2025-08-20,12:02,885.0,601.4,1.47
AMD,2025-08-20,12:04,1405.0,761.2,1.85
AMD,2025-08-20,12:06,4685.0,1360.6,3.44
AMD,2025-08-20,12:08,2261.0,1703.4,1.33
AMD,2025-08-20,12:10,250.0,592.2,0.42
AMD,2025-08-20,12:12,2247.0,587.0,3.83
AMD,2025-08-20,12:14,100.0,639.0,0.16
