Symbol,Date,Time,Volume,Avg_volume,Rvol
BMNR,2025-08-20,11:00,48243.0,29159.8,1.65
BMNR,2025-08-20,11:02,10383.0,15946.0,0.65
BMNR,2025-08-20,11:04,5562.0,12267.2,0.45
BMNR,2025-08-20,11:06,9605.0,6574.4,1.46
BMNR,2025-08-20,11:08,2254.0,4853.8,0.46
BMNR,2025-08-20,11:10,4065.0,5194.4,0.78
BMNR,2025-08-20,11:12,3636.0,3516.8,1.03
BMNR,2025-08-20,11:14,4029.0,4428.2,0.91
BMNR,2025-08-20,11:16,5771.0,4121.2,1.4
BMNR,2025-08-20,11:18,7938.0,5214.8,1.52
BMNR,2025-08-20,11:20,5957.0,5549.6,1.07
BMNR,2025-08-20,11:22,4473.0,7740.6,0.58
BMNR,2025-08-20,11:24,5364.0,9326.0,0.58
BMNR,2025-08-20,11:26,2308.0,8030.8,0.29
BMNR,2025-08-20,11:28,4152.0,4537.8,0.91
BMNR,2025-08-20,11:30,2451.0,3335.6,0.73
BMNR,2025-08-20,11:32,3240.0,3828.2,0.85
BMNR,2025-08-20,11:34,2104.0,2713.2,0.78
BMNR,2025-08-20,11:36,3112.0,2310.6,1.35
BMNR,2025-08-20,11:38,4251.0,2418.8,1.76
BMNR,2025-08-20,11:40,400.0,3245.6,0.12
BMNR,2025-08-20,11:42,1505.0,2511.8,0.6
BMNR,2025-08-20,11:44,23315.0,6490.6,3.59
BMNR,2025-08-20,11:46,16870.0,5945.6,2.84
BMNR,2025-08-20,11:48,11732.0,4059.4,2.89
BMNR,2025-08-20,11:50,10171.0,5058.4,2.01
BMNR,2025-08-20,11:52,8014.0,4032.2,1.99
BMNR,2025-08-20,11:54,12521.0,4284.8,2.92
BMNR,2025-08-20,11:56,5176.0,2458.4,2.11
BMNR,2025-08-20,11:58,1367.0,1681.8,0.81
BMNR,2025-08-20,12:00,2445.0,1814.2,1.35
BMNR,2025-08-20,12:02,2952.0,2823.0,1.05
BMNR,2025-08-20,12:04,2483.0,2671.2,0.93
BMNR,2025-08-20,12:06,844.0,1882.6,0.45
BMNR,2025-08-20,12:08,1781.0,1439.4,1.24
BMNR,2025-08-20,12:10,1839.0,1639.8,1.12
BMNR,2025-08-20,12:12,4133.0,5962.4,0.69
BMNR,2025-08-20,12:14,3879.0,4324.0,0.9
