Symbol,Date,Time,Volume,Avg_volume,Rvol
GOOGL,2025-08-19,11:00,655.0,696.6,0.94
GOOGL,2025-08-19,11:02,0.0,628.2,0.0
GOOGL,2025-08-19,11:04,325.0,754.0,0.43
GOOGL,2025-08-19,11:06,715.0,243.0,2.94
GOOGL,2025-08-19,11:08,0.0,293.0,0.0
GOOGL,2025-08-19,11:10,293.0,551.4,0.53
GOOGL,2025-08-19,11:12,225.0,1306.2,0.17
GOOGL,2025-08-19,11:14,100.0,323.8,0.31
GOOGL,2025-08-19,11:16,350.0,194.4,1.8
GOOGL,2025-08-19,11:18,100.0,518.2,0.19
GOOGL,2025-08-19,11:20,0.0,220.0,0.0
GOOGL,2025-08-19,11:22,297.0,179.8,1.65
GOOGL,2025-08-19,11:24,0.0,134.0,0.0
GOOGL,2025-08-19,11:26,400.0,614.4,0.65
GOOGL,2025-08-19,11:28,250.0,506.0,0.49
GOOGL,2025-08-19,11:30,178.0,95.6,1.86
GOOGL,2025-08-19,11:32,0.0,916.4,0.0
GOOGL,2025-08-19,11:34,0.0,92.2,0.0
GOOGL,2025-08-19,11:36,0.0,242.6,0.0
GOOGL,2025-08-19,11:38,0.0,60.0,0.0
GOOGL,2025-08-19,11:40,100.0,700.8,0.14
GOOGL,2025-08-19,11:42,230.0,243.0,0.95
GOOGL,2025-08-19,11:44,0.0,130.6,0.0
GOOGL,2025-08-19,11:46,475.0,248.8,1.91
GOOGL,2025-08-19,11:48,0.0,172.4,0.0
GOOGL,2025-08-19,11:50,0.0,288.6,0.0
GOOGL,2025-08-19,11:52,0.0,130.0,0.0
GOOGL,2025-08-19,11:54,100.0,64.0,1.56
GOOGL,2025-08-19,11:56,0.0,20.0,0.0
GOOGL,2025-08-19,11:58,700.0,276.4,2.53
GOOGL,2025-08-19,12:00,514.0,258.8,1.99
GOOGL,2025-08-19,12:02,0.0,202.0,0.0
GOOGL,2025-08-19,12:04,0.0,106.4,0.0
GOOGL,2025-08-19,12:06,0.0,20.0,0.0
GOOGL,2025-08-19,12:08,0.0,20.0,0.0
GOOGL,2025-08-19,12:10,0.0,172.2,0.0
GOOGL,2025-08-19,12:12,376.0,220.8,1.7
GOOGL,2025-08-19,12:14,0.0,20.0,0.0
GOOGL,2025-08-19,12:16,0.0,103.2,0.0
GOOGL,2025-08-19,12:18,0.0,0.0,
GOOGL,2025-08-19,12:20,0.0,544.6,0.0
GOOGL,2025-08-19,12:22,0.0,88.4,0.0
GOOGL,2025-08-19,12:24,0.0,103.0,0.0
GOOGL,2025-08-19,12:26,0.0,0.0,
GOOGL,2025-08-19,12:28,0.0,295.2,0.0
GOOGL,2025-08-19,12:30,0.0,258.6,0.0
GOOGL,2025-08-19,12:32,0.0,231.0,0.0
GOOGL,2025-08-19,12:34,0.0,118.4,0.0
GOOGL,2025-08-19,12:36,0.0,20.0,0.0
GOOGL,2025-08-19,12:38,0.0,20.0,0.0
GOOGL,2025-08-19,12:40,100.0,244.8,0.41
GOOGL,2025-08-19,12:42,109.0,103.8,1.05
GOOGL,2025-08-19,12:44,100.0,46.2,2.16
GOOGL,2025-08-19,12:46,0.0,69.2,0.0
GOOGL,2025-08-19,12:48,0.0,123.0,0.0
GOOGL,2025-08-19,12:50,0.0,203.2,0.0
GOOGL,2025-08-19,12:52,200.0,160.0,1.25
GOOGL,2025-08-19,12:54,0.0,210.2,0.0
GOOGL,2025-08-19,12:56,0.0,236.0,0.0
GOOGL,2025-08-19,12:58,0.0,20.0,0.0
GOOGL,2025-08-19,13:00,0.0,0.0,
GOOGL,2025-08-19,13:02,800.0,160.0,5.0
GOOGL,2025-08-19,13:04,0.0,73.8,0.0
GOOGL,2025-08-19,13:06,0.0,0.0,
GOOGL,2025-08-19,13:08,200.0,319.8,0.63
GOOGL,2025-08-19,13:10,0.0,100.6,0.0
GOOGL,2025-08-19,13:12,0.0,120.0,0.0
GOOGL,2025-08-19,13:14,0.0,110.0,0.0
GOOGL,2025-08-19,13:16,200.0,160.0,1.25
GOOGL,2025-08-19,13:18,0.0,408.2,0.0
GOOGL,2025-08-19,13:20,0.0,133.8,0.0
GOOGL,2025-08-19,13:22,700.0,281.8,2.48
GOOGL,2025-08-19,13:24,0.0,60.0,0.0
GOOGL,2025-08-19,13:26,0.0,204.0,0.0
GOOGL,2025-08-19,13:28,0.0,20.0,0.0
GOOGL,2025-08-19,13:30,500.0,140.0,3.57
GOOGL,2025-08-19,13:32,164.0,376.8,0.44
GOOGL,2025-08-19,13:34,0.0,240.0,0.0
GOOGL,2025-08-19,13:36,0.0,20.0,0.0
GOOGL,2025-08-19,13:38,112.0,159.2,0.7
GOOGL,2025-08-19,13:40,0.0,333.0,0.0
GOOGL,2025-08-19,13:42,0.0,20.0,0.0
GOOGL,2025-08-19,13:44,0.0,396.8,0.0
GOOGL,2025-08-19,13:46,0.0,120.0,0.0
GOOGL,2025-08-19,13:48,0.0,20.0,0.0
GOOGL,2025-08-19,13:50,200.0,120.0,1.67
GOOGL,2025-08-19,13:52,0.0,140.0,0.0
GOOGL,2025-08-19,13:54,0.0,70.0,0.0
GOOGL,2025-08-19,13:56,0.0,105.4,0.0
GOOGL,2025-08-19,13:58,0.0,40.0,0.0
GOOGL,2025-08-19,14:00,100.0,3286.0,0.03
GOOGL,2025-08-19,14:02,0.0,199.0,0.0
GOOGL,2025-08-19,14:04,388.0,319.6,1.21
GOOGL,2025-08-19,14:06,707.0,555.2,1.27
GOOGL,2025-08-19,14:08,0.0,444.8,0.0
GOOGL,2025-08-19,14:10,0.0,155.2,0.0
GOOGL,2025-08-19,14:12,100.0,20.0,5.0
GOOGL,2025-08-19,14:14,0.0,191.6,0.0
GOOGL,2025-08-19,14:16,0.0,1586.8,0.0
GOOGL,2025-08-19,14:18,225.0,939.8,0.24
GOOGL,2025-08-19,14:20,0.0,1261.8,0.0
GOOGL,2025-08-19,14:22,754.0,490.4,1.54
GOOGL,2025-08-19,14:24,0.0,3243.8,0.0
GOOGL,2025-08-19,14:26,0.0,248.6,0.0
GOOGL,2025-08-19,14:28,0.0,199.4,0.0
GOOGL,2025-08-19,14:30,0.0,217.4,0.0
GOOGL,2025-08-19,14:32,632.0,341.2,1.85
GOOGL,2025-08-19,14:34,0.0,563.8,0.0
GOOGL,2025-08-19,14:36,100.0,100.0,1.0
GOOGL,2025-08-19,14:38,384.0,354.6,1.08
GOOGL,2025-08-19,14:40,0.0,63.4,0.0
GOOGL,2025-08-19,14:42,150.0,183.8,0.82
GOOGL,2025-08-19,14:44,0.0,1411.8,0.0
GOOGL,2025-08-19,14:46,0.0,166.2,0.0
GOOGL,2025-08-19,14:48,100.0,877.0,0.11
