Symbol,Date,Time,Volume,Avg_volume,Rvol
HIMS,2025-08-19,11:00,55729.0,12364.0,4.51
HIMS,2025-08-19,11:02,10264.0,2851.2,3.6
HIMS,2025-08-19,11:04,4552.0,2130.4,2.14
HIMS,2025-08-19,11:06,9832.0,4664.6,2.11
HIMS,2025-08-19,11:08,700.0,1442.8,0.49
HIMS,2025-08-19,11:10,1396.0,1789.6,0.78
HIMS,2025-08-19,11:12,1047.0,509.4,2.06
HIMS,2025-08-19,11:14,401.0,500.2,0.8
HIMS,2025-08-19,11:16,2429.0,1943.6,1.25
HIMS,2025-08-19,11:18,461.0,667.4,0.69
HIMS,2025-08-19,11:20,1718.0,1088.6,1.58
HIMS,2025-08-19,11:22,250.0,1248.6,0.2
HIMS,2025-08-19,11:24,0.0,710.8,0.0
HIMS,2025-08-19,11:26,0.0,1542.0,0.0
HIMS,2025-08-19,11:28,0.0,1568.2,0.0
HIMS,2025-08-19,11:30,100.0,562.2,0.18
HIMS,2025-08-19,11:32,0.0,330.2,0.0
HIMS,2025-08-19,11:34,0.0,170.4,0.0
HIMS,2025-08-19,11:36,400.0,1686.8,0.24
HIMS,2025-08-19,11:38,510.0,2264.2,0.23
HIMS,2025-08-19,11:40,411.0,1268.8,0.32
HIMS,2025-08-19,11:42,575.0,237.0,2.43
HIMS,2025-08-19,11:44,106.0,338.8,0.31
HIMS,2025-08-19,11:46,233.0,531.2,0.44
HIMS,2025-08-19,11:48,200.0,102.0,1.96
HIMS,2025-08-19,11:50,0.0,172.0,0.0
HIMS,2025-08-19,11:52,126.0,502.6,0.25
HIMS,2025-08-19,11:54,0.0,802.0,0.0
HIMS,2025-08-19,11:56,0.0,792.6,0.0
HIMS,2025-08-19,11:58,137.0,376.0,0.36
HIMS,2025-08-19,12:00,0.0,1352.6,0.0
HIMS,2025-08-19,12:02,4346.0,10883.4,0.4
HIMS,2025-08-19,12:04,0.0,12937.2,0.0
HIMS,2025-08-19,12:06,0.0,12204.4,0.0
HIMS,2025-08-19,12:08,450.0,7688.8,0.06
HIMS,2025-08-19,12:10,0.0,1005.0,0.0
HIMS,2025-08-19,12:12,100.0,90.0,1.11
HIMS,2025-08-19,12:14,0.0,100.4,0.0
HIMS,2025-08-19,12:16,0.0,194.0,0.0
HIMS,2025-08-19,12:18,0.0,173.2,0.0
HIMS,2025-08-19,12:20,110.0,347.4,0.32
HIMS,2025-08-19,12:22,0.0,330.0,0.0
HIMS,2025-08-19,12:24,0.0,236.4,0.0
HIMS,2025-08-19,12:26,0.0,126.0,0.0
HIMS,2025-08-19,12:28,400.0,1234.6,0.32
HIMS,2025-08-19,12:30,0.0,341.0,0.0
HIMS,2025-08-19,12:32,0.0,201.4,0.0
HIMS,2025-08-19,12:34,200.0,1504.0,0.13
HIMS,2025-08-19,12:36,0.0,62.0,0.0
HIMS,2025-08-19,12:38,0.0,495.6,0.0
HIMS,2025-08-19,12:40,100.0,394.8,0.25
HIMS,2025-08-19,12:42,0.0,20.0,0.0
HIMS,2025-08-19,12:44,100.0,60.0,1.67
HIMS,2025-08-19,12:46,500.0,496.0,1.01
HIMS,2025-08-19,12:48,0.0,20.0,0.0
HIMS,2025-08-19,12:50,1352.0,313.4,4.31
HIMS,2025-08-19,12:52,0.0,538.4,0.0
HIMS,2025-08-19,12:54,0.0,274.0,0.0
HIMS,2025-08-19,12:56,0.0,0.0,
HIMS,2025-08-19,12:58,0.0,20.0,0.0
HIMS,2025-08-19,13:00,2590.0,922.0,2.81
HIMS,2025-08-19,13:02,0.0,20.0,0.0
HIMS,2025-08-19,13:04,0.0,123.6,0.0
HIMS,2025-08-19,13:06,0.0,100.0,0.0
HIMS,2025-08-19,13:08,0.0,973.6,0.0
HIMS,2025-08-19,13:10,0.0,998.4,0.0
HIMS,2025-08-19,13:12,138.0,964.8,0.14
HIMS,2025-08-19,13:14,200.0,592.6,0.34
HIMS,2025-08-19,13:16,0.0,0.0,
HIMS,2025-08-19,13:18,410.0,103.2,3.97
HIMS,2025-08-19,13:20,0.0,585.8,0.0
HIMS,2025-08-19,13:22,0.0,468.8,0.0
HIMS,2025-08-19,13:24,500.0,120.0,4.17
HIMS,2025-08-19,13:26,855.0,578.0,1.48
HIMS,2025-08-19,13:28,110.0,145.2,0.76
HIMS,2025-08-19,13:30,0.0,508.0,0.0
HIMS,2025-08-19,13:32,0.0,42.0,0.0
HIMS,2025-08-19,13:34,0.0,251.8,0.0
HIMS,2025-08-19,13:36,0.0,218.2,0.0
HIMS,2025-08-19,13:38,520.0,523.8,0.99
