Symbol,Date,Time,Volume,Avg_volume,Rvol
IONQ,2025-08-20,11:00,4414.0,1938.4,2.28
IONQ,2025-08-20,11:02,4068.0,1919.4,2.12
IONQ,2025-08-20,11:04,1403.0,1332.6,1.05
IONQ,2025-08-20,11:06,820.0,519.2,1.58
IONQ,2025-08-20,11:08,710.0,591.4,1.2
IONQ,2025-08-20,11:10,7584.0,1933.8,3.92
IONQ,2025-08-20,11:12,8496.0,2557.4,3.32
IONQ,2025-08-20,11:14,2413.0,1703.6,1.42
IONQ,2025-08-20,11:16,2244.0,629.0,3.57
IONQ,2025-08-20,11:18,507.0,213.4,2.38
IONQ,2025-08-20,11:20,1142.0,420.2,2.72
IONQ,2025-08-20,11:22,1077.0,311.4,3.46
IONQ,2025-08-20,11:24,100.0,953.0,0.1
IONQ,2025-08-20,11:26,7107.0,1667.2,4.26
IONQ,2025-08-20,11:28,592.0,372.6,1.59
IONQ,2025-08-20,11:30,3481.0,787.8,4.42
IONQ,2025-08-20,11:32,1339.0,721.6,1.86
IONQ,2025-08-20,11:34,113.0,240.2,0.47
IONQ,2025-08-20,11:36,1487.0,397.4,3.74
IONQ,2025-08-20,11:38,2164.0,932.8,2.32
IONQ,2025-08-20,11:40,3006.0,2633.2,1.14
IONQ,2025-08-20,11:42,985.0,363.2,2.71
IONQ,2025-08-20,11:44,831.0,783.2,1.06
IONQ,2025-08-20,11:46,1970.0,747.4,2.64
IONQ,2025-08-20,11:48,644.0,278.0,2.32
IONQ,2025-08-20,11:50,1886.0,417.2,4.52
IONQ,2025-08-20,11:52,1257.0,1028.8,1.22
IONQ,2025-08-20,11:54,3389.0,1305.4,2.6
IONQ,2025-08-20,11:56,1483.0,558.6,2.65
IONQ,2025-08-20,11:58,100.0,310.4,0.32
IONQ,2025-08-20,12:00,3041.0,1108.2,2.74
IONQ,2025-08-20,12:02,1883.0,376.6,5.0
IONQ,2025-08-20,12:04,1403.0,360.6,3.89
IONQ,2025-08-20,12:06,200.0,412.2,0.49
IONQ,2025-08-20,12:08,335.0,107.0,3.13
IONQ,2025-08-20,12:10,1530.0,535.8,2.86
IONQ,2025-08-20,12:12,239.0,414.0,0.58
IONQ,2025-08-20,12:14,900.0,87.4,10.3
