Symbol,Date,Time,Volume,Avg_volume,Rvol
JOBY,2025-08-20,11:00,1253.0,4421.4,0.28
JOBY,2025-08-20,11:02,3277.0,3915.8,0.84
JOBY,2025-08-20,11:04,2352.0,3363.8,0.7
JOBY,2025-08-20,11:06,7320.0,6143.2,1.19
JOBY,2025-08-20,11:08,1555.0,5082.4,0.31
JOBY,2025-08-20,11:10,4670.0,5304.6,0.88
JOBY,2025-08-20,11:12,2175.0,2481.2,0.88
JOBY,2025-08-20,11:14,2642.0,13663.0,0.19
JOBY,2025-08-20,11:16,1697.0,1411.0,1.2
JOBY,2025-08-20,11:18,1203.0,606.2,1.98
JOBY,2025-08-20,11:20,0.0,290.0,0.0
JOBY,2025-08-20,11:22,1006.0,820.8,1.23
JOBY,2025-08-20,11:24,971.0,677.8,1.43
JOBY,2025-08-20,11:26,0.0,1246.4,0.0
JOBY,2025-08-20,11:28,1287.0,731.2,1.76
JOBY,2025-08-20,11:30,100.0,208.6,0.48
JOBY,2025-08-20,11:32,1794.0,609.4,2.94
JOBY,2025-08-20,11:34,908.0,1367.8,0.66
JOBY,2025-08-20,11:36,200.0,1902.2,0.11
JOBY,2025-08-20,11:38,10404.0,3154.4,3.3
JOBY,2025-08-20,11:40,2234.0,551.6,4.05
JOBY,2025-08-20,11:42,2419.0,1329.6,1.82
JOBY,2025-08-20,11:44,1682.0,840.6,2.0
JOBY,2025-08-20,11:46,1072.0,1601.4,0.67
JOBY,2025-08-20,11:48,950.0,456.0,2.08
JOBY,2025-08-20,11:50,228.0,341.0,0.67
JOBY,2025-08-20,11:52,0.0,73.4,0.0
JOBY,2025-08-20,11:54,686.0,2163.0,0.32
JOBY,2025-08-20,11:56,1467.0,1095.4,1.34
JOBY,2025-08-20,11:58,3130.0,785.0,3.99
JOBY,2025-08-20,12:00,1521.0,1421.6,1.07
JOBY,2025-08-20,12:02,313.0,315.2,0.99
JOBY,2025-08-20,12:04,832.0,316.4,2.63
JOBY,2025-08-20,12:06,500.0,477.2,1.05
JOBY,2025-08-20,12:08,2139.0,625.8,3.42
JOBY,2025-08-20,12:10,1603.0,1214.4,1.32
JOBY,2025-08-20,12:12,2368.0,947.6,2.5
JOBY,2025-08-20,12:14,700.0,1036.4,0.68
