Symbol,Date,Time,Volume,Avg_volume,Rvol
MSTR,2025-08-19,11:00,205.0,1883.4,0.11
MSTR,2025-08-19,11:02,540.0,656.6,0.82
MSTR,2025-08-19,11:04,300.0,627.0,0.48
MSTR,2025-08-19,11:06,100.0,273.8,0.37
MSTR,2025-08-19,11:08,200.0,140.0,1.43
MSTR,2025-08-19,11:10,400.0,275.0,1.45
MSTR,2025-08-19,11:12,0.0,22.0,0.0
MSTR,2025-08-19,11:14,0.0,467.8,0.0
MSTR,2025-08-19,11:16,645.0,371.0,1.74
MSTR,2025-08-19,11:18,700.0,317.2,2.21
MSTR,2025-08-19,11:20,0.0,300.0,0.0
MSTR,2025-08-19,11:22,0.0,291.4,0.0
MSTR,2025-08-19,11:24,429.0,359.4,1.19
MSTR,2025-08-19,11:26,300.0,392.6,0.76
MSTR,2025-08-19,11:28,100.0,323.4,0.31
MSTR,2025-08-19,11:30,1189.0,495.2,2.4
MSTR,2025-08-19,11:32,100.0,180.0,0.56
MSTR,2025-08-19,11:34,0.0,107.8,0.0
MSTR,2025-08-19,11:36,0.0,364.8,0.0
MSTR,2025-08-19,11:38,0.0,204.6,0.0
MSTR,2025-08-19,11:40,0.0,99.8,0.0
MSTR,2025-08-19,11:42,0.0,101.4,0.0
MSTR,2025-08-19,11:44,0.0,201.6,0.0
MSTR,2025-08-19,11:46,0.0,40.0,0.0
MSTR,2025-08-19,11:48,0.0,20.0,0.0
MSTR,2025-08-19,11:50,370.0,94.0,3.94
MSTR,2025-08-19,11:52,200.0,40.0,5.0
MSTR,2025-08-19,11:54,207.0,81.4,2.54
MSTR,2025-08-19,11:56,100.0,148.8,0.67
MSTR,2025-08-19,11:58,0.0,179.8,0.0
MSTR,2025-08-19,12:00,344.0,88.8,3.87
MSTR,2025-08-19,12:02,0.0,40.0,0.0
MSTR,2025-08-19,12:04,0.0,120.0,0.0
MSTR,2025-08-19,12:06,100.0,20.0,5.0
MSTR,2025-08-19,12:08,642.0,335.0,1.92
MSTR,2025-08-19,12:10,0.0,198.4,0.0
MSTR,2025-08-19,12:12,0.0,146.0,0.0
MSTR,2025-08-19,12:14,0.0,150.2,0.0
MSTR,2025-08-19,12:16,0.0,257.8,0.0
MSTR,2025-08-19,12:18,100.0,80.0,1.25
MSTR,2025-08-19,12:20,0.0,20.0,0.0
MSTR,2025-08-19,12:22,0.0,120.0,0.0
MSTR,2025-08-19,12:24,0.0,100.8,0.0
MSTR,2025-08-19,12:26,0.0,80.0,0.0
MSTR,2025-08-19,12:28,0.0,59.8,0.0
MSTR,2025-08-19,12:30,0.0,79.0,0.0
MSTR,2025-08-19,12:32,0.0,60.0,0.0
MSTR,2025-08-19,12:34,0.0,554.4,0.0
MSTR,2025-08-19,12:36,0.0,324.8,0.0
MSTR,2025-08-19,12:38,0.0,240.8,0.0
MSTR,2025-08-19,12:40,0.0,253.4,0.0
MSTR,2025-08-19,12:42,350.0,349.2,1.0
MSTR,2025-08-19,12:44,0.0,20.8,0.0
MSTR,2025-08-19,12:46,0.0,110.2,0.0
MSTR,2025-08-19,12:48,0.0,48.0,0.0
MSTR,2025-08-19,12:50,0.0,277.2,0.0
MSTR,2025-08-19,12:52,0.0,153.4,0.0
MSTR,2025-08-19,12:54,0.0,101.0,0.0
MSTR,2025-08-19,12:56,0.0,221.8,0.0
MSTR,2025-08-19,12:58,0.0,40.0,0.0
MSTR,2025-08-19,13:00,0.0,128.6,0.0
MSTR,2025-08-19,13:02,0.0,40.0,0.0
MSTR,2025-08-19,13:04,0.0,20.0,0.0
MSTR,2025-08-19,13:06,100.0,302.8,0.33
MSTR,2025-08-19,13:08,0.0,475.2,0.0
MSTR,2025-08-19,13:10,0.0,20.0,0.0
MSTR,2025-08-19,13:12,0.0,66.8,0.0
MSTR,2025-08-19,13:14,0.0,260.0,0.0
MSTR,2025-08-19,13:16,0.0,448.0,0.0
MSTR,2025-08-19,13:18,476.0,135.2,3.52
MSTR,2025-08-19,13:20,0.0,177.2,0.0
MSTR,2025-08-19,13:22,0.0,60.0,0.0
MSTR,2025-08-19,13:24,0.0,44.4,0.0
MSTR,2025-08-19,13:26,0.0,0.0,
MSTR,2025-08-19,13:28,0.0,223.2,0.0
MSTR,2025-08-19,13:30,0.0,181.4,0.0
MSTR,2025-08-19,13:32,0.0,40.0,0.0
MSTR,2025-08-19,13:34,0.0,20.0,0.0
MSTR,2025-08-19,13:36,0.0,0.0,
MSTR,2025-08-19,13:38,0.0,236.2,0.0
MSTR,2025-08-19,13:40,0.0,67.2,0.0
