Symbol,Date,Time,Volume,Avg_volume,Rvol
NVDA,2025-08-20,11:00,35330.0,15146.4,2.33
NVDA,2025-08-20,11:02,19878.0,11002.8,1.81
NVDA,2025-08-20,11:04,12664.0,11347.6,1.12
NVDA,2025-08-20,11:06,7447.0,6050.8,1.23
NVDA,2025-08-20,11:08,11268.0,6326.4,1.78
NVDA,2025-08-20,11:10,4831.0,6238.2,0.77
NVDA,2025-08-20,11:12,1975.0,4099.2,0.48
NVDA,2025-08-20,11:14,5927.0,4532.0,1.31
NVDA,2025-08-20,11:16,3255.0,3950.2,0.82
NVDA,2025-08-20,11:18,730.0,2930.6,0.25
NVDA,2025-08-20,11:20,1694.0,4104.0,0.41
NVDA,2025-08-20,11:22,1057.0,2779.6,0.38
NVDA,2025-08-20,11:24,3860.0,3390.6,1.14
NVDA,2025-08-20,11:26,6074.0,3550.4,1.71
NVDA,2025-08-20,11:28,2410.0,3449.0,0.7
NVDA,2025-08-20,11:30,3735.0,4104.0,0.91
NVDA,2025-08-20,11:32,79648.0,18844.2,4.23
NVDA,2025-08-20,11:34,18687.0,6477.0,2.89
NVDA,2025-08-20,11:36,34583.0,9319.4,3.71
NVDA,2025-08-20,11:38,17263.0,9548.6,1.81
NVDA,2025-08-20,11:40,9374.0,3952.6,2.37
NVDA,2025-08-20,11:42,3528.0,4374.6,0.81
NVDA,2025-08-20,11:44,13055.0,7434.6,1.76
NVDA,2025-08-20,11:46,6775.0,3122.2,2.17
NVDA,2025-08-20,11:48,5949.0,6064.4,0.98
NVDA,2025-08-20,11:50,6965.0,3134.6,2.22
NVDA,2025-08-20,11:52,14059.0,7221.8,1.95
NVDA,2025-08-20,11:54,5835.0,4185.6,1.39
NVDA,2025-08-20,11:56,4402.0,5119.2,0.86
NVDA,2025-08-20,11:58,12129.0,4877.2,2.49
NVDA,2025-08-20,12:00,10194.0,4933.4,2.07
NVDA,2025-08-20,12:02,13291.0,5916.0,2.25
NVDA,2025-08-20,12:04,9872.0,4783.2,2.06
NVDA,2025-08-20,12:06,20848.0,5809.0,3.59
NVDA,2025-08-20,12:08,9700.0,3740.4,2.59
NVDA,2025-08-20,12:10,22501.0,6018.6,3.74
NVDA,2025-08-20,12:12,16506.0,5048.0,3.27
NVDA,2025-08-20,12:14,2610.0,3128.2,0.83
