Symbol,Date,Time,Volume,Avg_volume,Rvol
RGTI,2025-08-20,11:00,3281.0,7097.2,0.46
RGTI,2025-08-20,11:02,1310.0,8742.6,0.15
RGTI,2025-08-20,11:04,1954.0,3313.4,0.59
RGTI,2025-08-20,11:06,2451.0,5267.6,0.47
RGTI,2025-08-20,11:08,664.0,3715.6,0.18
RGTI,2025-08-20,11:10,4489.0,2581.4,1.74
RGTI,2025-08-20,11:12,3556.0,3788.6,0.94
RGTI,2025-08-20,11:14,408.0,922.4,0.44
RGTI,2025-08-20,11:16,2880.0,1439.4,2.0
RGTI,2025-08-20,11:18,900.0,1708.2,0.53
RGTI,2025-08-20,11:20,100.0,2804.8,0.04
RGTI,2025-08-20,11:22,1615.0,1339.0,1.21
RGTI,2025-08-20,11:24,107.0,8316.0,0.01
RGTI,2025-08-20,11:26,1645.0,4392.0,0.37
RGTI,2025-08-20,11:28,330.0,1881.0,0.18
RGTI,2025-08-20,11:30,1022.0,2186.8,0.47
RGTI,2025-08-20,11:32,1115.0,1763.2,0.63
RGTI,2025-08-20,11:34,1912.0,1074.2,1.78
RGTI,2025-08-20,11:36,2279.0,1042.2,2.19
RGTI,2025-08-20,11:38,506.0,911.2,0.56
RGTI,2025-08-20,11:40,3679.0,1579.2,2.33
RGTI,2025-08-20,11:42,28080.0,6734.0,4.17
RGTI,2025-08-20,11:44,2401.0,816.8,2.94
RGTI,2025-08-20,11:46,3312.0,1276.0,2.6
RGTI,2025-08-20,11:48,3579.0,1522.0,2.35
RGTI,2025-08-20,11:50,6576.0,1520.4,4.33
RGTI,2025-08-20,11:52,1338.0,895.0,1.49
RGTI,2025-08-20,11:54,2514.0,1154.8,2.18
RGTI,2025-08-20,11:56,926.0,686.8,1.35
RGTI,2025-08-20,11:58,994.0,544.2,1.83
RGTI,2025-08-20,12:00,7115.0,3196.6,2.23
RGTI,2025-08-20,12:02,1850.0,514.0,3.6
RGTI,2025-08-20,12:04,882.0,313.4,2.81
RGTI,2025-08-20,12:06,3035.0,927.0,3.27
RGTI,2025-08-20,12:08,523.0,254.0,2.06
RGTI,2025-08-20,12:10,1250.0,290.0,4.31
RGTI,2025-08-20,12:12,580.0,546.2,1.06
RGTI,2025-08-20,12:14,0.0,489.6,0.0
