Symbol,Date,Time,Volume,Avg_volume,Rvol
SMCI,2025-08-19,11:00,2418.0,3860.8,0.63
SMCI,2025-08-19,11:02,350.0,740.8,0.47
SMCI,2025-08-19,11:04,11028.0,3519.8,3.13
SMCI,2025-08-19,11:06,0.0,1152.8,0.0
SMCI,2025-08-19,11:08,0.0,780.2,0.0
SMCI,2025-08-19,11:10,100.0,511.4,0.2
SMCI,2025-08-19,11:12,100.0,541.0,0.18
SMCI,2025-08-19,11:14,0.0,459.8,0.0
SMCI,2025-08-19,11:16,136.0,1172.2,0.12
SMCI,2025-08-19,11:18,0.0,2766.0,0.0
SMCI,2025-08-19,11:20,110.0,1691.2,0.07
SMCI,2025-08-19,11:22,0.0,2098.8,0.0
SMCI,2025-08-19,11:24,737.0,246.0,3.0
SMCI,2025-08-19,11:26,0.0,1114.8,0.0
SMCI,2025-08-19,11:28,0.0,125.8,0.0
SMCI,2025-08-19,11:30,410.0,667.6,0.61
SMCI,2025-08-19,11:32,1058.0,2294.8,0.46
SMCI,2025-08-19,11:34,310.0,1130.8,0.27
SMCI,2025-08-19,11:36,713.0,446.6,1.6
SMCI,2025-08-19,11:38,0.0,702.8,0.0
SMCI,2025-08-19,11:40,100.0,1683.6,0.06
SMCI,2025-08-19,11:42,0.0,806.6,0.0
SMCI,2025-08-19,11:44,350.0,110.0,3.18
SMCI,2025-08-19,11:46,0.0,280.0,0.0
SMCI,2025-08-19,11:48,4557.0,2655.6,1.72
SMCI,2025-08-19,11:50,0.0,229.2,0.0
SMCI,2025-08-19,11:52,0.0,1058.4,0.0
SMCI,2025-08-19,11:54,878.0,1105.4,0.79
SMCI,2025-08-19,11:56,0.0,20.0,0.0
SMCI,2025-08-19,11:58,0.0,128.4,0.0
SMCI,2025-08-19,12:00,0.0,388.0,0.0
SMCI,2025-08-19,12:02,340.0,88.0,3.86
SMCI,2025-08-19,12:04,0.0,558.2,0.0
SMCI,2025-08-19,12:06,0.0,143.8,0.0
SMCI,2025-08-19,12:08,700.0,140.0,5.0
SMCI,2025-08-19,12:10,200.0,150.4,1.33
SMCI,2025-08-19,12:12,0.0,794.6,0.0
SMCI,2025-08-19,12:14,0.0,471.2,0.0
SMCI,2025-08-19,12:16,160.0,55.8,2.87
SMCI,2025-08-19,12:18,0.0,439.6,0.0
SMCI,2025-08-19,12:20,100.0,239.4,0.42
SMCI,2025-08-19,12:22,0.0,202.8,0.0
SMCI,2025-08-19,12:24,387.0,207.2,1.87
SMCI,2025-08-19,12:26,0.0,63.6,0.0
SMCI,2025-08-19,12:28,2382.0,500.4,4.76
SMCI,2025-08-19,12:30,134.0,110.8,1.21
SMCI,2025-08-19,12:32,0.0,238.2,0.0
SMCI,2025-08-19,12:34,0.0,426.2,0.0
SMCI,2025-08-19,12:36,100.0,20.0,5.0
SMCI,2025-08-19,12:38,0.0,379.6,0.0
SMCI,2025-08-19,12:40,110.0,130.0,0.85
SMCI,2025-08-19,12:42,0.0,228.6,0.0
SMCI,2025-08-19,12:44,0.0,413.4,0.0
SMCI,2025-08-19,12:46,0.0,92.2,0.0
SMCI,2025-08-19,12:48,0.0,162.4,0.0
SMCI,2025-08-19,12:50,0.0,76.8,0.0
SMCI,2025-08-19,12:52,0.0,115.8,0.0
SMCI,2025-08-19,12:54,0.0,421.0,0.0
SMCI,2025-08-19,12:56,150.0,335.4,0.45
SMCI,2025-08-19,12:58,623.0,492.6,1.26
SMCI,2025-08-19,13:00,449.0,89.8,5.0
SMCI,2025-08-19,13:02,0.0,102.0,0.0
SMCI,2025-08-19,13:04,500.0,961.0,0.52
SMCI,2025-08-19,13:06,0.0,70.0,0.0
SMCI,2025-08-19,13:08,0.0,186.2,0.0
SMCI,2025-08-19,13:10,0.0,540.6,0.0
SMCI,2025-08-19,13:12,0.0,606.8,0.0
SMCI,2025-08-19,13:14,0.0,87.8,0.0
SMCI,2025-08-19,13:16,1391.0,310.2,4.48
SMCI,2025-08-19,13:18,450.0,228.4,1.97
SMCI,2025-08-19,13:20,0.0,118.2,0.0
SMCI,2025-08-19,13:22,100.0,212.8,0.47
SMCI,2025-08-19,13:24,250.0,203.4,1.23
SMCI,2025-08-19,13:26,427.0,493.4,0.87
SMCI,2025-08-19,13:28,585.0,387.0,1.51
SMCI,2025-08-19,13:30,0.0,45.6,0.0
SMCI,2025-08-19,13:32,1609.0,546.8,2.94
SMCI,2025-08-19,13:34,220.0,189.2,1.16
