Symbol,Date,Time,Volume,Avg_volume,Rvol
VKTX,2025-08-20,11:00,4928.0,4736.0,1.04
VKTX,2025-08-20,11:02,917.0,889.5,1.03
VKTX,2025-08-20,11:04,1848.0,2247.0,0.82
VKTX,2025-08-20,11:06,29576.0,15299.0,1.93
VKTX,2025-08-20,11:08,18310.0,4860.25,3.77
VKTX,2025-08-20,11:10,5872.0,1568.0,3.74
VKTX,2025-08-20,11:12,1025.0,391.2,2.62
VKTX,2025-08-20,11:14,850.0,298.8,2.84
VKTX,2025-08-20,11:16,2699.0,648.8,4.16
VKTX,2025-08-20,11:18,977.0,285.4,3.42
VKTX,2025-08-20,11:20,0.0,163.2,0.0
VKTX,2025-08-20,11:22,346.0,69.2,5.0
VKTX,2025-08-20,11:24,2815.0,767.0,3.67
VKTX,2025-08-20,11:26,937.0,220.6,4.25
VKTX,2025-08-20,11:28,3476.0,871.4,3.99
VKTX,2025-08-20,11:30,3708.0,855.8,4.33
VKTX,2025-08-20,11:32,0.0,262.4,0.0
VKTX,2025-08-20,11:34,995.0,514.8,1.93
VKTX,2025-08-20,11:36,1063.0,212.6,5.0
VKTX,2025-08-20,11:38,2011.0,442.2,4.55
VKTX,2025-08-20,11:40,8022.0,1786.4,4.49
VKTX,2025-08-20,11:42,0.0,66.0,0.0
VKTX,2025-08-20,11:44,100.0,120.0,0.83
VKTX,2025-08-20,11:46,250.0,50.0,5.0
VKTX,2025-08-20,11:48,0.0,83.6,0.0
VKTX,2025-08-20,11:50,100.0,284.0,0.35
VKTX,2025-08-20,11:52,200.0,40.0,5.0
VKTX,2025-08-20,11:54,0.0,60.0,0.0
VKTX,2025-08-20,11:56,107.0,201.0,0.53
VKTX,2025-08-20,11:58,519.0,303.8,1.71
VKTX,2025-08-20,12:00,0.0,336.2,0.0
VKTX,2025-08-20,12:02,0.0,0.0,
VKTX,2025-08-20,12:04,378.0,349.4,1.08
VKTX,2025-08-20,12:06,210.0,42.0,5.0
VKTX,2025-08-20,12:08,100.0,20.0,5.0
VKTX,2025-08-20,12:10,100.0,168.6,0.59
VKTX,2025-08-20,12:12,0.0,192.0,0.0
VKTX,2025-08-20,12:14,232.0,252.8,0.92
